"Feature ID","Surface","Feature / capability","User story","Expected behavior based on code","Code anchors","Initial test approach","Initial test command or route","Status","Test result","Errors","Fix status","Retest result","Notes"
"F001","Web / App shell","五区导航、语义路由、404、响应式导航","作为本地用户，我希望在 Work、Projects、Sessions、Review、Settings 间稳定导航，并能直接打开实体链接。","固定显示五个主导航；支持任务、项目、会话、复盘、设置及上下文动作路由；未知路由显示明确的 Not Found；导航在平板和手机宽度切换布局。","client/src/App.tsx:9-47; client/src/workbench/AppNavigation.tsx:3-59; client/src/workbench/AppNavigation.tsx:160-210","Playwright 导航、语义路由与移动端 smoke","cd client && bun x playwright test e2e/app-navigation.spec.ts e2e/semantic-routes.spec.ts e2e/mobile-and-dialog.spec.ts","Passed","d09b6e7：app-navigation 4/4、semantic-routes 4/4、mobile-and-dialog 6/6 通过。","","","",""
"F002","Web / Shared data","工作台 SWR 式共享快照与刷新错误保留","作为用户，我希望切换页面时复用最近数据，并在刷新失败时仍能查看旧数据。","四个主要数据源并行加载；快照 30 秒内视为新鲜；聚焦、重新可见或每 60 秒触发 revalidate；同周期去重且强制刷新最多追加一次；已有数据刷新失败时保留数据并显示可重试警报。","client/src/workbench/useWorkbenchData.ts:9-29; client/src/workbench/workbenchDataResource.ts:15-105; client/src/workbench/Workbench.tsx:64-155","Vitest 状态机与组件刷新错误测试","cd client && bun x vitest run src/workbench/workbenchDataResource.test.ts src/workbench/Workbench.refresh.test.tsx src/hooks/useAsync.test.tsx","Passed","d09b6e7：workbenchDataResource 3/3、Workbench.refresh 3/3、useAsync 3/3 通过。","","","","前端实现共享 stale snapshot；服务端扫描虽经 Worker，调用方仍 await fresh，尚无通用后台 stale refresh。"
"F003","Web / Work","任务捕获与四列工作板","作为用户，我希望快速新建任务并在 Inbox、Today、Doing、Later 中查看工作。","首页捕获提交到真实 API；任务按生命周期映射到工作板；列内支持新增；项目和实时会话摘要出现在侧边区域。","client/src/workbench/pages/WorkPage.tsx:40-205; server/src/web/routes/work-items.ts:84-118","Playwright 首页捕获与工作板 smoke","cd client && bun x playwright test e2e/work.spec.ts","Passed","d09b6e7：work.spec.ts 5/5 通过。","","","",""
"F004","Web + API / Capture","快捷捕获、实时 token 预览和中英文日期语法","作为用户，我希望用一行文本同时输入项目、标签、优先级、日期、时间、截止日、估时和 System 类型。","按 c 打开无障碍对话框；预览不持久化；提交后创建 Inbox 项目；支持项目、标签、优先级、日期、截止日、估时、System 以及中英文相对日期；未解析 token 与 rawInput 保留。","client/src/workbench/QuickCapture.tsx:6-148; server/src/web/routes/work-items.ts:94-130; server/src/domain/capture/parser.ts:3-174","Playwright 捕获路径和 parser 单元覆盖","cd client && bun x playwright test e2e/quick-capture.spec.ts e2e/work.spec.ts","Failed - Product","d09b6e7：quick-capture 1/1、work capture/parser specs 及 server suite 342/342 通过；未覆盖非 UTC 本地日期语义。","#128：在 Asia/Shanghai 和 America/Los_Angeles 复现 today/相对日期按 UTC 解析，午夜附近返回错误本地日期。","Tracked in #128","","相对日期和时间按 UTC 计算，非 UTC 用户在午夜附近可能看到日期偏差。"
"F005","Web / Inbox","键盘优先 Inbox 分拣、多选和撤销","作为键盘用户，我希望不离开键盘就能批量规划、置顶、降级、丢弃和调整优先级。","j/k 移动；Enter 打开；e 重命名；n/s/d 改状态；t 置顶；0..3 改优先级；v/V 多选；问号显示帮助；Cmd/Ctrl+Z 或 toast 按钮撤销。","client/src/workbench/InboxTriage.tsx:94-365","完整浏览器 gate 覆盖键盘冲突与撤销","bun run verify:ci","Passed","d09b6e7 verify:ci 通过；InboxTriage 12/12、keyboard 4/4、undo coordination tests 通过。","","","",""
"F006","Web / Today and board","Today 分拣、跨列拖放与 Done 投放","作为用户，我希望把任务移动到不同工作状态，并快速完成 Today 任务。","Today 使用独立 Shift 快捷键命名空间；支持多选、完成、取消置顶、丢弃、优先级和撤销；工作板支持跨列拖放以及拖入 Done 后持久化完成状态。","client/src/workbench/TodayTriage.tsx:41-203; client/src/workbench/pages/WorkPage.tsx:278-531","Playwright 拖放、完成和页面工作流","cd client && bun x playwright test e2e/edit-and-done.spec.ts e2e/work.spec.ts","Passed","d09b6e7：edit-and-done 5/5、work 5/5；Today/Inbox undo coordination tests 通过。","","","",""
"F007","Web / Search","全局任务搜索","作为用户，我希望从任意页面按 Cmd/Ctrl+K 或斜杠搜索任务并打开详情。","搜索范围实际仅为 WorkItem 的 title、description、labels；120ms 防抖；最多显示 12 条；支持方向键、快捷键和 Enter。","client/src/workbench/SearchPalette.tsx:8-139; server/src/web/routes/work-items.ts:46-60","浏览器手工搜索标题、描述和标签","手工：打开任意页面，按 Cmd+K，搜索任务标题、描述和标签","Not Tested","","","","","导航文案为 Search anything，但实现不搜索 Projects、Sessions、Skills 或知识。"
"F008","Web / Smart lists","内置与自定义智能列表","作为用户，我希望快速查看 overdue、today-pinned、P0/P1、Inbox、Someday、Systems 及自定义标签列表。","反引号切换 chip 条；内置筛选查询服务端；自定义标签筛选保存在 localStorage；显示计数并可打开匹配任务；自定义 chip 可删除。","client/src/workbench/SmartLists.tsx:8-209","浏览器手工覆盖内置和自定义 chip","手工：在 / 按反引号，逐一打开内置 chip，创建并删除自定义 chip","Not Tested","","","","",""
"F009","Web / Todo detail","任务编辑、完成、重开和确认丢弃","作为用户，我希望在任务详情编辑核心字段，并安全改变生命周期。","详情按 ID 加载；标题和描述可编辑；优先级、项目、due、recurrence、reminder 可持久化；完成后可重开；Drop 位于二级菜单并要求确认；System 模板不能直接完成。","client/src/workbench/pages/TodoDetailPage.tsx:49-118; client/src/workbench/pages/TodoDetailPage.tsx:383-455; client/src/workbench/pages/TodoDetailPage.tsx:630-767","Playwright 编辑、完成、重开和 recurrence","cd client && bun x playwright test e2e/edit-and-done.spec.ts e2e/recurrence.spec.ts","Not Tested","","","","",""
"F010","Web + API / Todo structure","子任务、内嵌 checklist 和任务 journal","作为用户，我希望把任务拆成子任务和 checklist，并记录过程日志。","子任务单独持久化并能完成或丢弃；checklist 可新增、切换、重命名和删除；journal 可列出、新增和删除；加载状态和 API 错误会显示。","client/src/workbench/pages/TodoDetailPage.tsx:450-625; client/src/workbench/pages/todo-detail.checklist.tsx:32-151; server/src/web/routes/work-items.ts:161-197; server/src/web/routes/work-items.ts:221-253","服务端 route 测试加浏览器详情路径","cd server && bun test src/web/routes/work-items-v3.test.ts && cd ../client && bun x playwright test e2e/edit-and-done.spec.ts","Not Tested","","","","",""
"F011","Web + API / Todo context","标签、项目和会话关联","作为用户，我希望给任务加标签、关联项目和 Claude/Codex 会话，以便保留执行上下文。","详情可增删标签、切换项目、列出关联会话并 link/unlink；启动会话入口携带 todoId。","client/src/workbench/pages/TodoDetailPage.tsx:535-649; client/src/api/agent-sessions.ts:72-103; server/src/web/routes/work-items.ts:266-294","关系服务与会话集成测试","cd server && bun test src/domain/work-item-session/service.test.ts src/__tests__/integration/sessions.int.test.ts","Not Tested","","","","",""
"F012","Web + Domain / Recurrence","重复任务自动生成下一实例","作为用户，我希望日、工作日、周、月或完成后间隔的任务在完成时生成下一实例。","选择器支持 daily、weekdays、weekly、monthly、after 1d/7d；完成 recurring item 时根据规则生成下一日期；月末日期会夹到目标月最后一天。","client/src/workbench/pages/TodoDetailPage.tsx:685-701; server/src/domain/work-item/recurrence.ts:3-103","Playwright 选择器和 recurrence 单元测试","cd client && bun x playwright test e2e/recurrence.spec.ts && cd ../server && bun test src/domain/work-item/recurrence.test.ts","Failed - Product","d09b6e7：recurrence Playwright 1/1 及 server recurrence tests 通过；未覆盖非 UTC 本地日历边界。","#128：在 Asia/Shanghai 和 America/Los_Angeles 复现重复任务日期按 UTC 边界计算，可能生成错误本地日期。","Tracked in #128","","重复日期计算使用 UTC 日历边界。"
"F013","Web / Notifications","浏览器内提醒","作为用户，我希望任务 reminderAt 到期时收到系统通知，并点击进入任务。","设置页请求浏览器权限；页面打开期间每 60 秒拉取所有开放任务并在上个 tick 到当前时刻的窗口内触发通知；localStorage 去重；点击通知导航至任务。","client/src/workbench/pages/SettingsPage.tsx:223-288; client/src/workbench/ReminderTicker.tsx:6-103","真实浏览器通知权限与定时 smoke","手工：在 /settings 授权通知，创建一分钟内 reminderAt 并保持页面打开","Not Tested","","","","","不是后台通知服务；关闭页面、休眠或离线超过一分钟可能漏掉提醒。"
"F014","Web + API / Systems","可复用 System 模板和独立 Run","作为用户，我希望把固定流程保存为模板，每次运行时得到独立 checklist 副本。","kind=system 项目不可完成；Run system 创建独立 Run 和 checklist 副本；模板详情显示运行历史；快速捕获支持 System token。","client/src/workbench/pages/TodoDetailPage.tsx:401-507; server/src/web/routes/work-items.ts:255-264","Playwright System 全生命周期","cd client && bun x playwright test e2e/systems.spec.ts","Passed","d09b6e7：systems.spec.ts 5/5 通过。","","","",""
"F015","Web + API / Evidence","手工与会话推断完成证据","作为用户，我希望从代理输出推断任务是否完成，但最终由我确认。","可手工记录证据；在 Session Worker 扫描关联会话最后消息中的完成提示，生成待确认候选；接受会把任务标为 done，拒绝清除候选；无 checklist 时推断进度标为 estimated。","client/src/workbench/pages/todo-detail.evidence.tsx:34-221; server/src/domain/evidence/service.ts:97-225; server/src/web/routes/evidence.ts","Evidence 单元和集成测试","cd server && bun test src/domain/evidence/service.test.ts src/__tests__/integration/evidence.int.test.ts","Not Tested","GH127：infer 会话扫描改为 scanAsync；domain/API create、infer、accept、reject 回归通过。","","","","仅验证 domain/API；Web evidence panel 的候选展示、确认和拒绝流程尚未验证。"
"F016","Web / Todo promotion","把任务提升为 feature、project 或 lesson","作为用户，我希望把已有任务演化成更长期的项目结构或知识。","可把 kind 改为 feature；可用任务标题创建新 project；可保存为 cross-project lesson 并丢弃来源任务；按钮禁用和错误路径由页面处理。","client/src/workbench/pages/TodoDetailPage.tsx:717-740","浏览器手工验证三种 promotion 及持久化","手工：打开 /todos/:id，依次验证三种 promote 操作及持久化结果","Not Tested","","","","",""
"F017","Web / AI drafts","Idea 拆解与 Decision Inbox 审阅后写入","作为用户，我希望 AI 先生成可编辑草稿，只有确认后才创建普通任务。","decompose 创建 generation run 和 decision drafts；Decision Inbox 可编辑标题、优先级、标签，拒绝、手工采用或安全批量采用；带 review flags 的草稿不会被安全自动采用。","client/src/workbench/pages/todo-detail.ai.tsx:5-39; client/src/workbench/DecisionInbox.tsx:18-289; server/src/web/routes/work-item-ai.ts:23-77","Playwright mock provider 审阅路径","cd client && bun x playwright test e2e/decision-inbox.spec.ts","Passed","d09b6e7：decision-inbox.spec.ts 3/3 通过。","","","",""
"F018","Web + API / Meeting triage","会议文本导入、来源片段和人工采用","作为用户，我希望从会议记录生成带来源证据的任务草稿，并在写入前审阅。","导入文本先保存 meeting source，再调用 AI 生成带 source spans 的草稿；高风险草稿需要手工 review；普通工作项只在采用后创建。","client/src/workbench/DecisionInbox.tsx:139-246; server/src/web/routes/meeting-triage.ts:8-49","Playwright meeting triage golden path","cd client && bun x playwright test e2e/meeting-triage.spec.ts","Passed","d09b6e7：meeting-triage.spec.ts 2/2 通过。","","","",""
"F019","Web + API / Task coach","任务对话、摘要和确认写入","作为用户，我希望与任务 Coach 对话，并选择把摘要追加到描述、journal 或 checklist。","消息持久化；summarize 只生成候选；用户确认 apply 后才写入所选目的地，并记录可追溯 ai_write。","client/src/workbench/pages/todo-detail.coach.tsx:16-168; server/src/web/routes/work-item-coach.ts:21-68","Playwright Coach 流程与 route 测试","cd client && bun x playwright test e2e/task-coach.spec.ts && cd ../server && bun test src/web/routes/work-item-coach.test.ts","Passed","d09b6e7：task-coach Playwright 1/1、work-item-coach route tests 通过。","","","",""
"F020","Web + API / Projects","项目搜索与 CRUD","作为用户，我希望创建、查找、编辑和删除项目，而不误删其任务。","项目列表支持搜索和空状态；创建或编辑持久化 name、description、emoji、review cadence；删除需要确认，任务仅解除项目关联而不删除。","client/src/workbench/pages/ProjectsPage.tsx:6-65; client/src/workbench/pages/ProjectFormPage.tsx:12-90; client/src/workbench/pages/ProjectFormPage.tsx:93-356","Playwright 项目创建、详情和语义路由","cd client && bun x playwright test e2e/app-navigation.spec.ts e2e/project-detail.spec.ts","Not Tested","","","","",""
"F021","Web + API / Project knowledge","项目 intent、milestones、decisions、notes、lessons","作为用户，我希望项目页成为可编辑的长期上下文中心。","项目页并行加载知识和绑定技能；intent 和 notes 可编辑；milestone、decision、lesson 支持增改删；lesson 可切换 cross-project；失败显示可重试面板。","client/src/workbench/pages/ProjectDetailPage.tsx:40-96; client/src/workbench/pages/project-detail.knowledge.tsx:55-455; server/src/web/routes/project-knowledge.ts:16-208","项目详情 Playwright 与知识 service 测试","cd client && bun x playwright test e2e/project-detail.spec.ts && cd ../server && bun test src/domain/project-knowledge/service.test.ts","Not Tested","","","","",""
"F022","Web + API / Project decisions","从最近会话提取并审阅项目决策","作为用户，我希望把代理会话中的决策候选纳入项目 decision log。","项目页查询最近三个项目会话的候选；可接受到已有 decision 或忽略；候选状态持久化。","client/src/workbench/pages/ProjectDetailPage.tsx:98-125; client/src/workbench/pages/ProjectDetailPage.tsx:281-314; server/src/web/routes/agent-sessions.ts:45-116","Decision extraction 与 candidate service 测试","cd server && bun test src/domain/capture/decision-candidates.test.ts src/domain/capture/decision-extract.test.ts","Not Tested","d09b6e7：decision extraction 与 DecisionCandidateService 子层 tests 通过，包含在 server 342/342。","","","","仅验证 domain 子层；项目页交互及 HTTP accept/ignore/persistence 尚未做端到端验证。"
"F023","Web + API / Skills","技能目录、安装状态和项目绑定","作为用户，我希望搜索技能、管理目录状态，并决定启动项目会话时自动加载哪些技能。","支持搜索和 all、installed、bound、official、community tabs；可新建、删除、切换 installed 状态、复制安装命令、切换项目绑定；绑定技能进入 session prompt。","client/src/workbench/pages/SkillsSettingsPage.tsx:23-205; client/src/workbench/pages/SkillsSettingsPage.tsx:620-709; server/src/domain/skill/service.ts:31-135","Playwright 技能目录和绑定工作流","cd client && bun x playwright test e2e/skills-settings.spec.ts","Not Tested","","","","","install 和 uninstall 只切换 SQLite installed 布尔值，不实际安装或卸载外部技能包。"
"F024","Web / Sessions","Live 与最近会话列表","作为用户，我希望查看 Claude/Codex 当前和近期活动。","扫描两个 provider 后按 lastActiveAt 排序；前端工作台保留最近 30 个用于列表；Sessions 页区分 live 和 recent，所有链接都携带 provider 与 ID。","client/src/workbench/data.ts; client/src/workbench/pages/SessionsPage.tsx; client/src/workbench/shared.tsx","Playwright Sessions 页面与规范深链","cd client && bun x playwright test e2e/app-navigation.spec.ts e2e/semantic-routes.spec.ts","Passed","GH127：所有产品内 session 链接为 /sessions/:provider/:id；详情不依赖 30 条列表。","","","","列表仍有意只展示最近 30 个；更旧 session 可由规范深链直接加载。"
