"Feature ID","Surface","Feature / capability","User story","Expected behavior based on code","Code anchors","Initial test approach","Initial test command or route","Status","Test result","Errors","Fix status","Retest result","Notes"
"F025","Web + API / Session detail","真实 transcript、工具调用、文件和上下文","作为用户，我希望打开会话查看真实消息、工具调用、diff、文件、相关任务和项目。","规范路由按 provider + ID 直接获取 session；旧 ID-only 链接仅在唯一匹配时跳转；事件 API 使用有界 cursor 页和完整摘要；页面增量追加 transcript，并保持跨页工具配对。","client/src/workbench/pages/SessionDetailPage.tsx; client/src/api/agent-sessions.ts; server/src/web/routes/agent-sessions.ts; server/src/adapters/session-event-page.ts","组件、Worker、API、性能和 Playwright 深链测试","bun run typecheck && cd server && bun test src/adapters/session-event-page.test.ts src/adapters/session-scan-worker.test.ts src/__tests__/integration/sessions.int.test.ts && cd ../client && bun x vitest run src/workbench/pages/SessionDetailPage.test.tsx","Passed","GH127：旧于 30 条、跨 provider 重 ID、cursor 边界、512 KiB 上限、跨页配对、摘要、retry 与 8k transcript 并发 health 均通过。","","","","事件页按事件数和字节双重限制；显式加载更多后浏览器才保留更多历史。"
"F026","Web + API / Session dispatch","从任务组合上下文并启动 Claude/Codex","作为用户，我希望把任务、项目 intent、skills、lessons 和 subtasks 组合成提示词并启动代理。","compose 写临时 prompt 文件并返回建议命令；dispatch 记录 run 并 fire-and-forget 启动 CLI；找不到 CLI 时返回可复制命令；UI 可预览、选择工具、查看估算和关闭 run。","client/src/workbench/pages/SessionStartPage.tsx:14-131; client/src/workbench/pages/SessionStartPage.tsx:259-379; server/src/domain/session-dispatch/service.ts:17-237","Playwright dispatch 路径与 service 单元测试","cd client && bun x playwright test e2e/session-dispatch.spec.ts && cd ../server && bun test src/domain/session-dispatch/service.test.ts","Passed","d09b6e7：session-dispatch Playwright 1/1；SessionDispatchService compose、context、fallback、run tests 通过。","","","",""
"F027","Web + API / Weekly review","周复盘、陈旧任务处理、下周计划和 Markdown 导出","作为用户，我希望按 ISO 周复盘完成情况、代理投入和陈旧任务，并安排下周。","可前后切换 ISO 周；显示完成数、focus hours、项目分布、feature 进展和 WoW；可处理 stale item；可下载 Markdown。","client/src/workbench/pages/WeeklyReviewPage.tsx:21-190; client/src/workbench/pages/WeeklyReviewPage.tsx:453-516; server/src/domain/analytics/weekly.ts:27-159","Playwright 周复盘与导出单元测试","cd client && bun x playwright test e2e/weekly-review.spec.ts e2e/edit-and-done.spec.ts && bun x vitest run src/workbench/pages/weekly-review.export.test.ts src/workbench/pages/weekly-review.week.test.ts","Failed - Product","PR #137：非 UTC 周界、focus hour、标签和导出已按配置时区验证；合法 non-monotonic usage 仍待修。","#123：合法 non-monotonic token 计数会令 weekly API 返回 500。","Tracked in #123","","Share with team 是无事件处理器的死按钮；合法乱序 session timestamp 仍会阻断 Weekly。"
"F028","Web + API / Usage review","30 天 token、成本、模型、小时和项目用量分析","作为用户，我希望知道代理 token 和成本花在哪里。","按配置时区聚合最近 30 个日历日；显示 totals、daily spend、本地小时热图、model mix、project leaderboard 与精确范围；项目行可跳转；没有数据和加载错误有明确状态。","client/src/workbench/pages/UsageReviewPage.tsx; server/src/domain/analytics/burn.ts","Playwright usage、性能和 Burn 单元测试","cd client && bun x playwright test e2e/usage-review.spec.ts e2e/weekly-review.performance.spec.ts && cd ../server && bun test src/domain/analytics/burn.test.ts","Passed","PR #137：Shanghai/Los Angeles/New York 日界、DST、重复小时、UI 范围与 Worker 性能门禁通过。","","","","Burn 使用小堆 Worker 内聚合且不返回 raw events；滚动 totals 的无上界旧契约已由响应 metadata 明示。"
"F029","Web / Settings","主题、通知权限和预算管理","作为用户，我希望个性化界面、开启提醒，并设置支出上限。","支持七个主题并持久化；显示通知权限并允许请求授权；预算可按 scope 和 day、week、month、quarter 创建、改 cap、删除；同 scope 和 period 唯一；Usage 按配置时区的真实活动周期评估每个 cap。","client/src/workbench/pages/SettingsPage.tsx; client/src/workbench/pages/UsageReviewPage.tsx; server/src/domain/analytics/burn.ts","预算 service、四周期聚合和预算 UI 测试","cd server && bun test src/domain/budget/service.test.ts src/domain/analytics/burn.test.ts && cd ../client && bun x vitest run src/workbench/pages/visible-api-errors.test.tsx","Passed","GH126：day/week/month/quarter、边界、空数据、全局/项目 scope、范围标签与超额状态定向测试通过。","","","","预算四周期由一个有界 Worker 聚合计算，不按预算条数重复扫描历史。"
"F030","API / Work items","任务 CRUD、筛选、Today、stale 和 lifecycle API","作为本地自动化调用方，我希望通过 API 完整管理任务。","支持列表筛选、CRUD、Today、stale、capture、preview、pin、priority、subtasks、journal、checklist、System run、session links 和 completion accept/reject；Zod 校验并映射结构化错误。","server/src/web/routes/work-items.ts:37-325","服务端 route 与集成测试","cd server && bun test src/web/routes/work-items-v3.test.ts src/__tests__/integration/api.int.test.ts","Passed","d09b6e7：work-items-v3 与 api integration tests 通过，包含在 server 342/342。","","","",""
"F031","API / Projects and knowledge","Area、知识、lesson 和 skill binding API","作为本地集成调用方，我希望管理项目元数据、知识和技能绑定。","Areas 支持 CRUD；project knowledge 支持 intent、milestones、decisions、notes；lessons 支持相关性查询和 CRUD；skills 和 project bindings 支持 CRUD 与 toggle。","server/src/web/routes/areas.ts:9-45; server/src/web/routes/project-knowledge.ts:19-208; server/src/web/routes/skills.ts:6-114","领域 service 测试","cd server && bun test src/domain/area/service.test.ts src/domain/project-knowledge/service.test.ts src/domain/skill/service.test.ts","Not Tested","d09b6e7：Area、ProjectKnowledge、Skill domain service 子层 tests 通过，包含在 server 342/342。","","","","仅验证 domain 子层；HTTP CRUD、project binding toggle 及错误契约尚未验证。"
"F032","API / Agent sessions and workboard","provider 会话扫描、详情、事件和项目汇总","作为本地集成调用方，我希望读取 Claude/Codex 会话及其与任务、项目的关系。","列表每 provider 最多 100 个；provider + ID 详情无文件数截断；events 返回不超过 200 事件且受 512 KiB 字节预算约束的 cursor 页、完整摘要和 cache；workboard 合并任务、链接和 parse errors。","server/src/web/routes/agent-sessions.ts; server/src/adapters/session-event-page.ts; server/src/web/routes/workboard.ts","会话、分页与 API 集成测试","cd server && bun test src/adapters/session-event-page.test.ts src/__tests__/integration/sessions.int.test.ts src/__tests__/integration/api.int.test.ts","Passed","GH127：旧于 30 条的精确详情、分页 metadata、非法 query、大 transcript health 和 Worker contract 通过。","","","","精确详情可能扫描全部 provider metadata，但工作在 Worker 且复用指纹缓存。"
"F033","API / AI review flows","AI drafts、meeting triage、coach 和 AI write traceability","作为本地集成调用方，我希望调用 review-first AI 能力且没有静默写入。","provider 默认 disabled；decompose 和 meeting import 生成草稿；accept 才创建任务；coach summary 必须 apply 才写入；错误以结构化形式返回。","server/src/web/routes/work-item-ai.ts:23-77; server/src/web/routes/meeting-triage.ts:14-49; server/src/web/routes/work-item-coach.ts:21-68; docs/AI_PROVIDER.md:19-35","AI route 测试与 deterministic provider","cd server && bun test src/web/routes/work-item-ai.test.ts src/web/routes/meeting-triage.test.ts src/web/routes/work-item-coach.test.ts","Passed","d09b6e7：work-item-ai、meeting-triage、work-item-coach route tests 通过，包含在 server 342/342。","","","",""
"F034","API / Analytics and budgets","Burn、weekly 和 budget API","作为本地集成调用方，我希望查询用量复盘并维护预算。","burn days 被限制到 1..365；weekly 要求有效 ISO week；budget-spend 一次返回配置时区的四个活动周期和 cache；budget CRUD 要求正数 cap，period 为 day、week、month、quarter。","server/src/web/routes/analytics.ts; server/src/web/routes/budgets.ts","Analytics 与 budget 领域测试","cd server && bun test src/domain/analytics/burn.test.ts src/domain/analytics/weekly.test.ts src/domain/budget/service.test.ts src/__tests__/integration/api.int.test.ts","Failed - Product","PR #137 与 GH126：时区化 Burn/Weekly、四周期 budget-spend、Worker 紧凑聚合和 API metadata tests 通过。","#123：合法 non-monotonic token 计数可令 weekly aggregate 返回 500。","Tracked in #123","","Burn 与 budget-spend 经 Worker 聚合；调用方仍 await fresh 结果，后端没有通用 stale-while-refresh 响应。"
"F035","API / Local safety","Health、loopback 绑定和浏览器 Origin 限制","作为单机用户，我希望服务只在本机监听，并拒绝未信任浏览器 origin。","host 仅允许 loopback；默认端口 4174；允许本地 5173 origins 及显式额外 origins；有 Origin 且不在集合时返回 403；health 返回版本与时间。","server/src/config.ts:25-31; server/src/config.ts:108-128; server/src/web/app-factory.ts:50-67; server/src/web/app-factory.ts:157-167","配置与 API 安全集成测试","cd server && bun test src/config.test.ts src/__tests__/integration/api.int.test.ts","Passed","d09b6e7：config security 与 API Origin allowlist integration tests 通过；doctor health 200。","","","","无 auth 是单用户本机设计边界；若通过隧道或非受信本地环境暴露则不安全。"
"F036","Backend / Session scanning","JSONL 扫描、SQLite 指纹缓存和单飞","作为用户，我希望反复打开页面时只重解析变化的 Claude/Codex JSONL，并看到坏文件错误。","按 source path、mtime、size 复用缓存；缓存损坏会删除并报错；full、activity、Burn、event page 与 decision extraction 由 SessionScanWorker 执行；相同 scan/aggregate 请求共享 Promise。","server/src/adapters/session-cache.ts; server/src/adapters/aggregator.ts; server/src/adapters/session-scan-worker.ts; server/src/adapters/session-scan-worker-entry.ts","Scanner、cache、aggregator、worker、event page 与 tail 测试","cd server && bun test src/adapters/aggregator.test.ts src/adapters/session-scan-worker.test.ts src/adapters/session-event-page.test.ts src/adapters/claude/scanner.test.ts src/adapters/codex/scanner.test.ts src/adapters/jsonl-tail.test.ts","Passed","GH127：event page、decision extraction 与 evidence infer 均离开 API 主循环；Session Worker 和全量 server regression 通过。","","","","调用方仍 await fresh 结果；后端没有覆盖所有 session-derived route 的通用 stale-while-refresh 响应。"
"F037","CLI","stash capture","作为终端用户，我希望用 stash 或 stash add 快速捕获任务。","读取 STASH_BASE_URL；5 秒超时调用 capture API；成功输出解析摘要；网络、HTTP 或响应格式错误退出 1。","tools/stash:1-159","隔离数据库上的 CLI 端到端 capture","在隔离 DB 服务上执行 STASH_BASE_URL=http://127.0.0.1:4174 tools/stash add smoke","Not Tested","","","","",""
"F038","CLI","stash doctor","作为终端用户，我希望确认 stash 服务可达。","调用 health，5 秒超时；要求 JSON object 且 ok 为 true；显示 service、version、time 和耗时；不接受额外文本。","tools/stash:31-87; tools/stash:136-159","CLI help 与运行中服务 smoke","tools/stash --help; 服务运行时执行 tools/stash doctor","Not Tested","","","","","CLI 没有 stash backup 或 stash restore 子命令。"
"F039","Operations / Doctor","仓库级环境诊断","作为本地安装者，我希望检查 Bun、DB、Claude/Codex 路径和两个开发服务器。","检查 Bun 版本、DB dir 和 file、两个 session roots、server health 和 Vite；默认缺失项为 warn，strict 为 fail；输出 next hint。","scripts/doctor.ts:17-77; scripts/doctor.ts:80-159; scripts/doctor.ts:184-210","Doctor 单元测试和 strict smoke","bun test scripts/doctor.test.ts; bun run doctor --strict","Not Tested","","","","","Web Settings 没有对应的完整配置和 source health 诊断视图。"
"F040","Operations / Install","CLI symlink 安装","作为本地用户，我希望把仓库内 CLI 安装到 PATH。","默认创建本地 bin 下的 stash symlink；STASH_CLI_DIR 可覆盖；相同链接幂等；已有其他目标必须 force；设置源文件可执行位；PATH 缺失时输出提示。","tools/install-cli.ts:1-76","临时安装目录 smoke","STASH_CLI_DIR=/tmp/stash-cli-smoke bun run install:cli && /tmp/stash-cli-smoke/stash --help","Not Tested","","","","","安装仅覆盖 CLI symlink，不安装 server、client 或长期运行服务。"
"F041","Operations / Runtime config","环境变量配置与旧 DB 路径兼容","作为本地用户，我希望覆盖服务端口、DB、备份、session roots、origin、spawn 和 AI provider。","配置仅来自环境变量和默认值；macOS 新默认 DB 不存在时回退已有 XDG 或 legacy app.db；非法整数、host、spawn mode、AI mode 会抛错。","server/src/config.ts:5-49; server/src/config.ts:53-85; server/src/config.ts:87-131","配置单元测试","cd server && bun test src/config.test.ts","Passed","d09b6e7：config.test.ts 全部通过，包含默认路径、loopback、origins、spawn 和 AI provider。","","","","Settings 显示不存在的 ~/.stash/config.toml；代码没有读取该文件。"
"F042","Operations / Data safety","手工 SQLite backup","作为用户，我希望在升级或操作前生成一致的本地数据库快照。","db backup 使用 VACUUM INTO 写入唯一时间戳文件，验证非空并输出路径；支持 DB 和 backup dir 环境变量；内存库和不存在的 DB 会失败。","server/src/db/backup.ts:34-53; server/scripts/db-backup.ts:1-27","Backup 单元测试和隔离 DB smoke","cd server && bun test src/db/backup.test.ts","Passed","d09b6e7：database backup and restore test 通过。","","","",""
"F043","Operations / Data safety","安全 restore","作为用户，我希望从有效备份恢复，同时保留恢复前的当前数据库。","restore 先 quick_check 输入；已有目标先写 pre-restore backup；删除 WAL 和 SHM 后替换文件；再次 quick_check；文档要求先停止服务。","server/src/db/backup.ts:55-94; server/scripts/db-restore.ts:1-28; docs/DATA_SAFETY.md:48-64","Restore 单元测试和隔离 DB round trip","cd server && bun test src/db/backup.test.ts","Passed","d09b6e7：database backup and restore round-trip test 通过。","","","","只能通过 bun script 使用，CLI 无 restore 子命令。"
"F044","Operations / Migration","启动时迁移及迁移前自动备份","作为升级用户，我希望 schema 向前迁移且原数据库可恢复。","按文件名顺序应用未执行 SQL，每个 migration 单独事务并记录；已有磁盘 DB 在存在 pending migrations 时先写 migration backup；新 DB 和内存 DB 不备份初始建表。","server/src/db/migrate.ts:14-74; server/src/db/connection.ts:12-33; docs/DATA_SAFETY.md:66-79","Migration 与 backup 测试","cd server && bun test src/db/migrate.test.ts src/db/backup.test.ts","Passed","d09b6e7：migrate 5/5 与 backup/restore test 通过，包含 seeded non-empty migration preservation。","","","","README 架构段仍写 migrations 001 到 007，实际已有 001 到 018。"
"F045","Operations / Demo","基础和 rich demo seed","作为新用户或测试者，我希望快速生成可浏览的项目、任务、知识、技能和示例会话。","root scripts 提供 seed、seed rich 和 rich sessions；rich sessions 生成 fixture Claude JSONL；release 文档要求重跑不重复每表数据。","package.json:24-28; server/fixtures/seed.ts:1; server/fixtures/seed-rich.ts:1; docs/RELEASE_CHECKLIST.md:104-118","隔离 DB 与 roots 的 seed smoke","STASH_DB_PATH=/tmp/stash-seed-smoke.db CLAUDE_ROOT=/tmp/stash-seed-claude bun run seed:rich:sessions","Not Tested","","","","",""
"F046","Operations / Release","源码 checkout 的人工发布验证流程","作为维护者，我希望在交给新本地用户前验证精确 commit 的安装、启动、CLI、路由、数据安全和回归测试。","提供手工 release checklist 和 verify gates；当前发行方式仍是源码安装加本地 server 和 client，packages 为 private。","package.json:2-31; docs/RELEASE_CHECKLIST.md:1-210; README.md:231-276","完整 CI gate 加干净 clone release checklist","bun run verify:ci，并按 docs/RELEASE_CHECKLIST.md 在干净 clone 完整执行","Failed - Logistical","#129 fresh-root release smoke 失败。","#129：fresh root 执行 bun install 未安装 client/server 子包依赖，随后 bun run verify:ci 失败。","Tracked in #129","","没有 LICENSE、CHANGELOG、可安装应用包、桌面 wrapper、launchd 或 service 配置；适合个人使用，不是完整公共发行。"
